OBJECTID,CUSTOMER_I,POSTAL_ARE,FULL_POSTA,REC_TYPE,GEO_LEVEL,NT_CITY,COUNTY,STATE,DISPLAY_LI,ROUTING_LI,DISPLAY_LA,DISPLAY_LO,ROUTING_LA,ROUTING_LO,HOUSE_NUMB,BUILDING_N,STREET_NAM,TMO_STREET,HDB,NEAR_FID,NEAR_DIST,NEAR_X,NEAR_Y,is_outlier,Longitude,Latitude,Distance to Nearest POI (m),Distance to Nearest Street (m),Number of POIs within 500m,Distance to Area Centroid (m),z_score_outlier,iqr_outlier,dbscan_outlier,lof_outlier,cluster,Anomaly Score (%),Confidence in Classification,POI Classification,Reasons for Classification
80262,246669.0,,757827.0,S,8.0,SINGAPORE,SINGAPORE,,940493987.0,940493987.0,1.45226,103.79921,1.4523,103.79919,56,SIN SAN KEE AUTOMOBILE INDUSTRIES,WOODLANDS IND PARK E7,WOODLANDS IND PARK E7,Y,5612,0.002134,103.7973,1.45131,False,103.79919,1.4523,0.00388,0.001449,2999,0.123943,False,True,False,False,44,20.00%,Low,CORRECT,Isolated from other POIs
90261,148840.0,,258650.0,S,9.0,SINGAPORE,SINGAPORE,,116142665.0,116142789.0,1.3127,103.81843,1.31272,103.81881,17,,LERMIT RD,LERMIT RD,N,2172,0.003893,103.8227,1.31258,False,103.81881,1.31272,0.000225,0.002363,2999,0.039408,False,True,False,False,0,35.00%,Medium,CORRECT,Far from streets
92834,216737.0,,535188.0,S,9.0,SINGAPORE,SINGAPORE,,116154847.0,116154847.0,1.36087,103.89039,1.36107,103.8904,84A,,TAMPINES RD,TAMPINES RD,N,2036,0.002119,103.8897,1.35907,False,103.8904,1.36107,0.001269,0.001266,2999,0.04752,False,False,False,False,0,0.00%,Low,CORRECT,Normal spatial pattern
3734,155213.0,,218389.0,S,8.0,SINGAPORE,SINGAPORE,,116132292.0,116132292.0,1.31495,103.85395,1.3149,103.85379,108,KUAN YIN TANG,RANGOON RD,RANGOON RD,N,1208,0.00061,103.8544,1.31488,False,103.85379,1.3149,0.000685,0.001215,2999,0.024277,False,False,False,False,0,0.00%,Low,CORRECT,Normal spatial pattern
73051,187944.0,,368143.0,S,8.0,SINGAPORE,SINGAPORE,,939706078.0,939706078.0,1.33156,103.88146,1.33174,103.88145,432,,MACPHERSON RD,MACPHERSON RD,N,1136,0.000672,103.8814,1.33107,False,103.88145,1.33174,0.001136,0.000761,2999,0.033629,False,False,False,False,0,0.00%,Low,CORRECT,Normal spatial pattern
7396,232577.0,,508703.0,S,8.0,SINGAPORE,SINGAPORE,,116133659.0,116133659.0,1.37494,103.97263,1.37451,103.97246,2,TECH-LINK STORAGE ENGINEERING,LOYANG WAY 1,LOYANG WAY 1,N,878,0.00295,103.9706,1.37222,False,103.97246,1.37451,0.00152,0.001594,2999,0.129029,False,False,False,False,17,0.00%,Low,CORRECT,Normal spatial pattern
117776,158845.0,,457612.0,S,9.0,SINGAPORE,SINGAPORE,,940187731.0,940187730.0,1.31346,103.92536,1.31338,103.92523,13A,,JALAN JAMAL,JALAN JAMAL,N,413,0.000702,103.9259,1.31317,False,103.92523,1.31338,0.000245,0.000977,2999,0.080742,False,False,False,False,0,0.00%,Low,CORRECT,Normal spatial pattern
76886,228597.0,,548302.0,S,8.0,SINGAPORE,SINGAPORE,,940104934.0,940104934.0,1.36472,103.88212,1.36472,103.88198,27,JADE VINE GARDENS,KANG CHOO BIN RD,KANG CHOO BIN RD,N,970,0.001139,103.881,1.36414,False,103.88198,1.36472,0.00011,0.000958,2999,0.042441,False,False,False,False,0,0.00%,Low,CORRECT,Normal spatial pattern
106353,165383.0,,637451.0,S,9.0,SINGAPORE,SINGAPORE,,901978252.0,901978252.0,1.31838,103.633,1.31837,103.633,78,,TUAS SOUTH AVE 2,TUAS SOUTH AVE 2,N,-1,-1.0,-1.0,-1.0,True,103.633,1.31837,0.005785,0.001045,2999,0.216476,True,True,True,False,-1,95.00%,Very High,INCORRECT,Isolated from other POIs; Spatial clustering outlier
98711,160889.0,,217755.0,S,9.0,SINGAPORE,SINGAPORE,,784594455.0,784594455.0,1.31444,103.85307,1.31418,103.8536,2A,,STARLIGHT RD,STARLIGHT RD,N,2123,0.000716,103.8539,1.31353,False,103.8536,1.31418,0.000469,0.000624,2999,0.024941,False,False,False,False,0,0.00%,Low,CORRECT,Normal spatial pattern
22269,161001.0,,278294.0,S,8.0,SINGAPORE,SINGAPORE,,116144448.0,116144448.0,1.3143,103.77993,1.31447,103.77997,5,HOLLAND GROVE PARK,JALAN KEBAYA,JALAN KEBAYA,N,4327,0.001892,103.7783,1.31536,False,103.77997,1.31447,0.00028,0.001346,2999,0.072681,False,False,False,False,0,0.00%,Low,CORRECT,Normal spatial pattern
50759,157487.0,,279053.0,S,8.0,SINGAPORE,SINGAPORE,,895310365.0,895310365.0,1.31466,103.78299,1.31458,103.78323,12,HENRY PARK,GROVE DR,GROVE DR,N,1687,0.001646,103.7847,1.31532,False,103.78323,1.31458,0.001154,0.000975,2999,0.069576,False,False,False,False,0,0.00%,Low,CORRECT,Normal spatial pattern
93293,208078.0,,539645.0,S,9.0,SINGAPORE,SINGAPORE,,116156413.0,116156413.0,1.35608,103.88174,1.35605,103.88171,21A,FOH PIN GARDEN,CHARLTON LN,CHARLTON LN,N,2544,0.0018,103.8807,1.35456,False,103.88171,1.35605,0.001325,0.000512,2999,0.03749,False,False,False,False,0,0.00%,Low,CORRECT,Normal spatial pattern
78073,237424.0,,788014.0,S,8.0,SINGAPORE,SINGAPORE,,940138170.0,940138170.0,1.39905,103.82353,1.39884,103.82361,34,SPRINGLEAF GARDEN,SPRINGLEAF RISE,SPRINGLEAF RISE,N,1403,0.001395,103.8244,1.39769,False,103.82361,1.39884,0.000651,0.001443,2999,0.06519,False,False,False,False,10,0.00%,Low,CORRECT,Normal spatial pattern
112144,202519.0,,488427.0,S,9.0,SINGAPORE,SINGAPORE,,925075830.0,761933141.0,1.34703,103.9603,1.34642,103.9603,76,,JALAN PELATOK,JALAN PELATOK,N,-1,-1.0,-1.0,-1.0,False,103.9603,1.34642,0.000117,0.00026,2999,0.112045,False,False,False,False,0,0.00%,Low,CORRECT,Normal spatial pattern
63935,211145.0,,548323.0,S,8.0,SINGAPORE,SINGAPORE,,924710199.0,924710199.0,1.35259,103.87519,1.35272,103.8754,23,,JOON HIANG RD,JOON HIANG RD,N,5048,0.000524,103.8751,1.35229,False,103.8754,1.35272,0.000603,0.000781,2999,0.030356,False,False,False,False,0,0.00%,Low,CORRECT,Normal spatial pattern
122591,169162.0,,217912.0,S,0.0,SINGAPORE,SINGAPORE,,833409347.0,833409347.0,1.31592,103.85403,1.31593,103.85404,65A,,SING AVE,SING AVE,N,3550,0.000241,103.8538,1.31595,False,103.85404,1.31593,0.000103,0.000611,2999,0.023331,False,False,False,False,0,0.00%,Low,CORRECT,Normal spatial pattern
37016,174908.0,,308035.0,S,8.0,SINGAPORE,SINGAPORE,,116176927.0,116176927.0,1.32128,103.8368,1.32109,103.8369,1,ONE MOUNT ROSE,MOUNT ROSIE RD,MOUNT ROSIE RD,N,2342,1.4e-05,103.83689,1.3211,False,103.8369,1.32109,0.000201,0.001071,2999,0.02102,False,False,False,False,0,0.00%,Low,CORRECT,Normal spatial pattern
86938,140248.0,,436990.0,S,9.0,SINGAPORE,SINGAPORE,,116133797.0,116133797.0,1.30897,103.89462,1.30897,103.89463,188-6A,,TG KATONG RD,TG KATONG RD,N,5012,0.001953,103.8932,1.3103,False,103.89463,1.30897,0.000632,0.000589,2999,0.054803,False,False,False,False,0,0.00%,Low,CORRECT,Normal spatial pattern
18829,176243.0,,266397.0,S,8.0,SINGAPORE,SINGAPORE,,116141947.0,116141947.0,1.31985,103.80735,1.31997,103.80729,30,KINGSVILLE,KING'S DR,KING'S DR,N,2099,0.001911,103.8055,1.32064,False,103.80729,1.31997,7.2e-05,0.000835,2999,0.045251,False,False,False,False,0,0.00%,Low,CORRECT,Normal spatial pattern
65673,191632.0,,347962.0,S,8.0,SINGAPORE,SINGAPORE,,924893564.0,924893564.0,1.32924,103.87129,1.32939,103.87125,42,SENNETT ESTATE,SIANG KUANG AVE,SIANG KUANG AVE,N,1221,0.001322,103.8725,1.32896,False,103.87125,1.32939,0.000626,0.000535,2999,0.024517,False,False,False,False,0,0.00%,Low,CORRECT,Normal spatial pattern
